BB x*,SD x*
0.232396553,0.231015641
-0.012966252,-0.012989682
-0.019301069,-0.019434933
-0.028715515,-0.028606032
0.163494806,0.163403929
0.037872465,0.037863461
0.043646039,0.043629329
0.010506111,0.010573806
-0.051030306,-0.050930193
-0.197591824,-0.197089116
0.128949166,0.129040017
0.0306822,0.030701477
-0.040927363,-0.040952484
0.077689661,0.077682671
-0.015635269,-0.015602441
0.019038519,0.019042821
-0.084651083,-0.084685468
-0.068628249,-0.068606486
-0.129268395,-0.129316977
0.044708539,0.044808842
0.423679214,0.42313558
0.024425301,0.024421573
0.066702403,0.066538867
0.00474397,0.004741518
-0.069610557,-0.06961622
0.023273115,0.023185389
-0.008196251,-0.008234508
-0.003701376,-0.003685708
-0.05297219,-0.052972757
-0.026889547,-0.026876968
0.049769894,0.049737991
-0.002755745,-0.002826676
0.129974902,0.12966191
-0.002222184,-0.002561418
-0.126841635,-0.126626644
0.024283336,0.02431659
0.067331395,0.067296782
0.081544413,0.081531144
-0.099635811,-0.099634104
-0.032479185,-0.032460797
-0.102514961,-0.102506703
0.009406936,0.009399321
-0.010878529,-0.010854956
0.008644692,0.008659302
-0.048156841,-0.048174165
-0.031710781,-0.031705292
0.034703695,0.034708081
0.017967617,0.01797677
-0.027825547,-0.027821764
-0.039673657,-0.039689374
-0.038983355,-0.038921641
-0.01601167,-0.016048545
0.035121532,0.035483983
0.029170012,0.029415867
0.021806698,0.021731645
-0.078675579,-0.07864443
-0.024890568,-0.024891068
-0.019369057,-0.019353658
0.007012322,0.00701886
0.020573611,0.020575803
-0.008925134,-0.008920286
0.019528321,0.019530613
-0.004842521,-0.004832157
-0.031812084,-0.031816872
0.43436671,0.43171798
0.111748644,0.110994655
0.018338758,0.018452714
0.014236983,0.014304123
-0.005254641,-0.005336906
0.003311553,0.003290496
-0.051015645,-0.050993425
0.000833285,0.000843206
0.037663631,0.037652297
-0.00451123,-0.004499789
0.022692973,0.022692339
-0.010268436,-0.010272881
0.03810329,0.038104172
0.003714325,0.003715922
0.013909335,0.013913784
0.015095136,0.015099369
0.010175456,0.010166947
-0.012148634,-0.012148049
-0.01445003,-0.014507276
0.052340493,0.052449254
0.033417878,0.03332877
-0.176435393,-0.171067923
0.00276419,0.002652575
0.01223763,0.012276187
0.042585961,0.042572094
-0.007441261,-0.00744053
0.027247277,0.027246505
-0.054153408,-0.054148556
-0.010993511,-0.010995637
-0.007686878,-0.007682608
-0.007522444,-0.007525057
-0.128037689,-0.128177948
0.625634422,0.603280457
0.460928709,0.447981562
0.042700707,0.04340716
-0.016749811,-0.016554268
-0.011172493,-0.011376277
-0.061324634,-0.061396364
0.010658594,0.010696956
-0.029265547,-0.02923992
0.032756233,0.03273423
0.03374093,0.033741068
-0.013159308,-0.013159491
0.015233932,0.015235782
-0.046988522,-0.04699708
0.033357626,0.033367367
-0.030677569,-0.030674097
-0.001539872,-0.001538326
-0.022358484,-0.022378773
0.01481596,0.014803699
-0.038720011,-0.038668302
0.043194868,0.043184345
0.32567974,0.325720576
-0.309669995,-0.28673935
-0.017825843,-0.018460354
0.086042595,0.086339154
-0.033532649,-0.033571344
0.005221134,0.005240426
-0.053648934,-0.053651599
-0.023638553,-0.023628622
-0.043305988,-0.0433075
-0.009940088,-0.009927842
0.041383432,0.041369397
-0.009133363,-0.009129562
0.518911733,0.517215631
-0.172644901,-0.175099182
-0.068988396,-0.068402596
-0.024893465,-0.024783156
-0.03147134,-0.031607589
-0.020332671,-0.020437527
-0.124811004,-0.124743256
-0.000745703,-0.000733804
-0.066608954,-0.066618472
-0.022963108,-0.022975285
-0.068914541,-0.068910246
0.012857696,0.012856309
-0.047147508,-0.047147372
0.012333754,0.012336133
-0.020444798,-0.020415101
0.05567782,0.055668172
0.004403075,0.004376687
-0.086084089,-0.086078101
-0.052798544,-0.052820127
0.050157358,0.050176581
0.149993999,0.149882524
0.085257239,0.086545335
0.020562635,0.020640313
0.005859409,0.005871888
-0.079170694,-0.079149743
-0.044254416,-0.044242016
-0.031693439,-0.031686285
-0.001539567,-0.001534109
0.059195312,0.059206772
0.027386604,0.027391791
0.066362738,0.06635882
-0.031479151,-0.031488067
-0.2883823,-0.289244812
0.088179143,0.088115101
0.03291225,0.032900704
-0.011343006,-0.01133472
-0.002048446,-0.002071256
0.031276338,0.031282029
0.028765919,0.028787772
0.057643895,0.057640065
-0.007632893,-0.007631333
0.00334171,0.003348472
0.032550204,0.032545023
